NA,Date,AirPressure_22m_hPa,AccumulatedPrecipitation_mm,WindSpeed_22m_ms,WindSpeed_16.3m_ms,WindSpeed_12.3m_ms,WindSpeed_2.3m_ms,WindDirection_22m_deg,AirHumidity_22m_percent,AirHumidity_16.3m_percent,AirHumidity_12.3m_percent,AirHumidity_8.1m_percent,AirHumidity_2.3m_percent,AirHumidity_0.9m_percent,AirTemperature_22m_degC,AirTemperature_16.3m_degC,AirTemperature_12.3m_degC,AirTemperature_8.1m_degC,AirTemperature_2.3m_degC,AirTemperature_0.9m_degC,VPD_22m_hPa,VPD_16.3m_hPa,VPD_12.3m_hPa,VPD_8.1m_hPa,VPD_2.3m_hPa,VPD_0.9m_hPa,PAR_incoming_22m_umol_m2_s1,PAR_reflected_22m_umol_m2_s1,ShortWaveRadiation_incoming_22m_Wm2,ShortWaveRadiation_reflected_22m_Wm2,LongWaveRadiation_downwelling_22m_Wm2,LongWaveRadiation_upwelling_22m_Wm2,GlobalRadiation_22m_Wm2,DiffuseRadiation_22m_Wm2,Fraction_of_DiffuseRadiation,SunshineDuration_minutes_per_12hours,SoilTemperature_30cm_degC,SoilTemperature_60cm_degC,SoilTemperature_100cm_degC,SoilMoisture_30cm_percent,SoilMoisture_60cm_percent,SoilMoisture_100cm_percent,NEE_umol_m2_s1,LatentHeatFlux_Wm2,SensibleHeatFlux_Wm2,GroundHeatFlux_Wm2,CO2_concentration,Year,Month,Day,season,ET_ET_pot
329,25/01/2015,1007.245833,NA,2.556666667,2.245708333,1.903625,0.284583333,278.5875,99.97916667,100,97.575,100,99.84166667,99.225,22.325,22.47083333,23.14583333,NA,23.475,23.27916667,0.005852282,0,0.691044648,NA,0.04723964,0.228851469,145.2184167,5.77575,62.295375,8.374041666,-0.748291667,1.02325,71.14441667,70.36,0.986911101,0,26.62777778,27.02777778,27.13055556,28.36944445,31.16111111,27.84305556,-7.303133738,102.0085,3.8130875,-6.655249994,510.7616204,2015,1,25,pre_drought_pre_enzo,0.803327713
330,26/01/2015,1004.970833,NA,1.218791667,1.108833333,0.955333333,0.137833333,213.8375,74.84166667,76.7375,67.10833333,82.62083333,87.83333333,84.99583333,28.40416667,28.34166667,30.95,NA,27.61666667,27.3125,9.75073935,8.982316455,14.75848349,NA,4.499828502,5.462309622,942.04025,36.541125,436.197375,65.52295833,-39.18408333,-15.46083333,435.4899167,344.2334167,0.83175964,5.125,26.01944444,26.75555556,27.09027778,29.13333333,30.57222222,27.63611111,-19.02945033,265.95625,25.9556875,28.41141668,385.3937235,2015,1,26,pre_drought_pre_enzo,0.657163425
331,27/01/2015,1004.033333,NA,2.732666667,2.431541667,2.063083333,0.460541667,154.0833333,74.1875,75.47083333,68.925,79.05416667,80.39583334,80.50416667,28.95833333,29.10833333,30.7125,NA,28.77083333,28.6375,10.42544177,9.997886253,13.86323124,NA,7.827059653,7.722992223,1388.466375,49.726125,640.8655833,97.21579168,-46.52570833,-13.19658333,643.357625,395.247375,0.632305621,14.775,26.20972222,26.71805555,27.0125,29,30.09444444,27.52361111,-21.66279551,346.04,60.63475,33.59058334,386.8698436,2015,1,27,pre_drought_pre_enzo,0.541461364
332,28/01/2015,1003.020834,NA,2.189333333,1.955083333,1.644708333,0.430333333,156.0458333,68.38333333,69.77916667,62.47916667,73.50833333,75.49166667,75.42916667,29.63333333,29.75416667,31.8375,NA,29.40416667,29.32083333,13.21721197,12.71097644,17.71852079,NA,10.1067992,10.07755683,1526.421583,52.08520833,692.0259583,103.7545833,-58.6155,-16.67725,710.2826667,317.821375,0.471283412,20.3,26.49027778,26.83055555,26.97638889,28.77222222,29.89583333,27.36666667,-19.854992,371.58875,48.5410875,33.40725001,383.2188939,2015,1,28,pre_drought_pre_enzo,0.55346306
333,29/01/2015,1003.933333,NA,1.806708333,1.622625,1.374708333,0.284333333,191.5125,68.95833333,70.42916667,61.60833333,74.42916667,75.91666667,75.54583333,29.8625,29.98333333,32.50833333,NA,29.53333333,29.49583333,13.16908145,12.64828745,18.84120498,NA,10.0808836,10.20353061,1499.414083,52.57654167,686.3471667,102.1877917,-55.08604167,-19.23404167,699.9872083,392.1764167,0.592703111,16.375,26.66527778,26.97222223,26.98472222,28.55972222,29.83194444,27.26666667,-25.27146314,400.2615,73.37975,31.47808334,388.1135089,2015,1,29,pre_drought_pre_enzo,0.556811485
334,30/01/2015,1005.316667,NA,1.508541667,1.338375,1.115583333,0.215166667,235.6666667,94.26666667,95.14166667,88.22083334,97.98333333,97.32083333,94.28333333,24.275,24.45416667,25.95416667,NA,24.47083333,24.73333333,1.846862283,1.594896924,4.142487515,NA,0.854801797,1.819171792,605.9749584,25.40095833,290.20775,46.292375,-20.26175,-2.543833333,284.1720417,282.4238333,0.992921388,0,26.69722222,27.04722222,27.04027778,28.41111111,29.76666667,27.17222222,-19.73538511,207.1775,37.6587375,8.794750007,408.3515888,2015,1,30,pre_drought_pre_enzo,0.66873591
335,31/01/2015,1005.191667,NA,1.846041667,1.665541666,1.406708333,0.354708333,142.0916667,83.1,84.07916667,77.42916667,91.10416667,92.6375,89.9875,27.57916667,27.73333333,29.55,NA,27.29583333,27.09166667,6.471223243,6.146163891,9.586116326,NA,2.795023316,3.717371794,961.8492916,38.71783333,460.6669167,72.493,-31.74479167,-8.462916667,447.7390834,410.2537917,0.917183447,2.025,26.43611111,26.92777778,26.98472222,29.82777778,31.87638889,27.72222222,-20.33521845,235.96875,24.601625,25.54475001,387.8011336,2015,1,31,pre_drought_pre_enzo,0.478529919
336,01/02/2015,1005.025,NA,4.046041667,3.58725,2.983958333,0.701916667,22.825,66.88333333,66.47083334,62.61666667,69.10416667,72.48095238,72.04761905,28.49166667,29.13333333,30.22083333,NA,28.64285714,28.69583333,12.98385328,13.69091886,16.19253751,NA,10.9032606,11.13620595,1850.386917,59.225375,833.8845417,122.914625,-65.28054167,-12.06091667,858.963875,252.2614583,0.311384918,25.6375,26.33472222,26.84166667,26.98472222,29.56944444,30.3875,27.475,-21.56234785,375.3525,66.19725,25.49058334,383.6670914,2015,2,1,pre_drought_pre_enzo,0.49018452
337,02/02/2015,1006.229167,NA,2.99025,2.70975,2.211416667,0.571208333,0,69.55,67.99166667,63.61666667,66.4125,75.725,74.375,28.3875,29.29583333,30.54583333,30.34166667,28.2375,28.42916667,11.80360308,13.07676863,15.97241142,14.89875652,9.317952839,9.95437238,1481.76275,52.10504167,688.433375,105.0748333,-49.97979167,-14.11808333,688.8415834,506.8448333,0.759170748,12.15,26.36388889,26.86944445,27,29.18194445,30.07916667,27.28472222,-17.43577886,375.2575,67.445625,27.36975001,381.6957674,2015,2,2,pre_drought_pre_enzo,0.5571639
338,03/02/2015,1007.066667,NA,2.632083334,2.343416667,1.981833333,0.512916667,0,67.17916667,65.87916667,61.78333333,70.7875,75.95,72.72083334,29.00833333,29.87083333,31.07083333,29.10416667,28.6,28.87083333,13.23460752,14.47684762,17.37572962,11.84150484,9.471677366,10.90847933,1545.703917,57.04054167,704.3887917,107.7224167,-52.54008333,-16.28483333,714.035125,448.5305833,0.66111848,16.775,26.19444445,26.77777778,26.98194445,28.91944444,29.94305556,27.16111111,-21.00071163,352.204,60.72665,28.43225001,376.1761443,2015,2,3,pre_drought_pre_enzo,0.407498217
